Turbine ID,Project State,Project Name,Year Online,Number of Project Turbines,Average Turbine Capacity,Turbine Manufacturer,Turbine Model,Total Rated Capacity,Hub Height,Total Height
3104381,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104404,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104452,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104451,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104445,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104371,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104385,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104437,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3121553,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121534,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121548,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121589,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121551,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121560,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121585,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121558,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121557,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121574,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121566,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121532,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121568,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121583,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121547,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121526,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3037764,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121544,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121531,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121533,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121564,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121545,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121586,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121540,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121559,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121549,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121537,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121554,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121571,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121569,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121550,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121573,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121542,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121577,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121576,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121535,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121575,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121552,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
